Place,Region,County,Link,Link2,Geo Merge,latitude,longitude
Kirkby Lonsdale,Northwast,Cumbria,"https://en.wikipedia.org/wiki/Kirkby Lonsdale,_Cumbria",https://en.wikipedia.org/wiki/Kirkby Lonsdale,54.201?N 2.597?W,54.201,-2.597
Baltic Triangle,Northwast,Liverpool,"https://en.wikipedia.org/wiki/Baltic Triangle,_Liverpool",https://en.wikipedia.org/wiki/Baltic Triangle,53.397?N 2.983?W,53.397,-2.983
Lymm,Northwast,Cheshire,"https://en.wikipedia.org/wiki/Lymm,_Cheshire",https://en.wikipedia.org/wiki/Lymm,53.383399?N 2.475034?W,53.383399,-2.475034
Ancoats,Northwast,Manchester,"https://en.wikipedia.org/wiki/Ancoats,_Manchester",https://en.wikipedia.org/wiki/Ancoats,53.483333?N 2.229722?W,53.483333,-2.229722
Ramsbottom,Northwast,Manchester,"https://en.wikipedia.org/wiki/Ramsbottom,_Manchester",https://en.wikipedia.org/wiki/Ramsbottom,53.6484?N 2.3169?W,53.6484,-2.3169
Saddleworth,Northwast,Manchester,"https://en.wikipedia.org/wiki/Saddleworth,_Manchester",https://en.wikipedia.org/wiki/Saddleworth,53.55?N 2?W,53.55,-2
West Kirby,Northwast,Merseyside,"https://en.wikipedia.org/wiki/West Kirby,_Merseyside",https://en.wikipedia.org/wiki/West Kirby,53.373?N 3.184?W,53.373,-3.184
Harrogate,Northeast,North Yorkshire,"https://en.wikipedia.org/wiki/Harrogate,_North Yorkshire",https://en.wikipedia.org/wiki/Harrogate,53.991?N 1.539?W,53.991,-1.539
Skipton,Northeast,North Yorkshire,"https://en.wikipedia.org/wiki/Skipton,_North Yorkshire",https://en.wikipedia.org/wiki/Skipton,53.962?N 2.017?W,53.962,-2.017
York,Northeast,North Yorkshire,"https://en.wikipedia.org/wiki/York,_North Yorkshire",https://en.wikipedia.org/wiki/York,53.95833?N 1.08028?W,53.95833,-1.08028
Alnwick,Northeast,Northumberland,"https://en.wikipedia.org/wiki/Alnwick,_Northumberland",https://en.wikipedia.org/wiki/Alnwick,55.4134?N 1.7069?W,55.4134,-1.7069
Craster,Northeast,Northumberland,"https://en.wikipedia.org/wiki/Craster,_Northumberland",https://en.wikipedia.org/wiki/Craster,55.471794?N 1.595788?W,55.471794,-1.595788
Corbridge,Northeast,Northumberland,"https://en.wikipedia.org/wiki/Corbridge,_Northumberland",https://en.wikipedia.org/wiki/Corbridge,54.975?N 2.017?W,54.975,-2.017
Durham,Northeast,County Durham,"https://en.wikipedia.org/wiki/Durham,_County Durham",https://en.wikipedia.org/wiki/Durham,54.7761?N 1.5733?W,54.7761,-1.5733
Fulwood,Northeast,Lancashire,"https://en.wikipedia.org/wiki/Fulwood,_Lancashire",https://en.wikipedia.org/wiki/Fulwood,53.779444?N 2.693611?W,53.779444,-2.693611
Helmsley,Northeast,North Yorkshire,"https://en.wikipedia.org/wiki/Helmsley,_North Yorkshire",https://en.wikipedia.org/wiki/Helmsley,54.246572?N 1.054344?W,54.246572,-1.054344
Hull,Northeast,Hull,"https://en.wikipedia.org/wiki/Hull,_Hull",https://en.wikipedia.org/wiki/Hull,"53.744333, -0.3325",53.744333, -0.3325
Horsforth,Northeast,West Yorkshire,"https://en.wikipedia.org/wiki/Horsforth,_West Yorkshire",https://en.wikipedia.org/wiki/Horsforth,53.83413?N 1.64288?W,53.83413,-1.64288
Malton,Northeast,North Yorkshire,"https://en.wikipedia.org/wiki/Malton,_North Yorkshire",https://en.wikipedia.org/wiki/Malton,54.139?N 0.792?W,54.139,-0.792
Pateley Bridge,Northeast,North Yorkshire,"https://en.wikipedia.org/wiki/Pateley Bridge,_North Yorkshire",https://en.wikipedia.org/wiki/Pateley Bridge,54.0854?N 1.7622?W,54.0854,-1.7622
Richmond,Northeast,North Yorkshire,"https://en.wikipedia.org/wiki/Richmond,_North Yorkshire",https://en.wikipedia.org/wiki/Richmond,54.403?N 1.737?W,54.403,-1.737
Saltburn-by-the-Sea,Northeast,North Yorkshire,"https://en.wikipedia.org/wiki/Saltburn-by-the-Sea,_North Yorkshire",https://en.wikipedia.org/wiki/Saltburn-by-the-Sea,54.5828?N 0.9732?W,54.5828,-0.9732
Tynemouth,Northeast,Tyne and Wear,"https://en.wikipedia.org/wiki/Tynemouth,_Tyne and Wear",https://en.wikipedia.org/wiki/Tynemouth,55.01?N 1.42?W,55.01,-1.42
Wooler,Northeast,Northumberland,"https://en.wikipedia.org/wiki/Wooler,_Northumberland",https://en.wikipedia.org/wiki/Wooler,55.5461?N 2.0166?W,55.5461,-2.0166
