hmc school,wikipedia link,postcode
Oundle School,https://en.wikipedia.org/wiki/Oundle_School,PE8 4GH
Pangbourne College,https://en.wikipedia.org/wiki/Pangbourne_College,RG8 8LA
The Perse School,https://en.wikipedia.org/wiki/The_Perse_School,CB2 8QF
Plymouth College,https://en.wikipedia.org/wiki/Plymouth_College,PL4 6RN
Pocklington School,https://en.wikipedia.org/wiki/Pocklington_School,YO42 2NJ
Portsmouth Grammar School,https://en.wikipedia.org/wiki/Portsmouth_Grammar_School,PO1 2JN
Princethorpe College,https://en.wikipedia.org/wiki/Princethorpe_College,CV23 9PX
Prior Park College,https://en.wikipedia.org/wiki/Prior_Park_College,BA2 5AH
Putney High School,https://en.wikipedia.org/wiki/Putney_High_School,SW15 6BH
Queen Anne's School,https://en.wikipedia.org/wiki/Queen_Anne's_School,RG4 6DX
"Queen Elizabeth Grammar School, Wakefield","https://en.wikipedia.org/wiki/Queen_Elizabeth_Grammar_School,_Wakefield",WF1 3QX
Queen Elizabeth's Hospital,https://en.wikipedia.org/wiki/Queen_Elizabeth's_Hospital,BS8 1JX
Queen's College,https://en.wikipedia.org/wiki/Queen's_College,W1G 8B
Radley College,https://en.wikipedia.org/wiki/Radley_College,OX14 2HR
Ratcliffe College,https://en.wikipedia.org/wiki/Ratcliffe_College,LE7 4SG
Reading Blue Coat School,https://en.wikipedia.org/wiki/Reading_Blue_Coat_School,RG4 6SU
Reed's School,https://en.wikipedia.org/wiki/Reed's_School,KT11 2ES
Reigate Grammar School,https://en.wikipedia.org/wiki/Reigate_Grammar_School,RH2 0QS
Rendcomb College,https://en.wikipedia.org/wiki/Rendcomb_College,GL7 7HA
Repton School,https://en.wikipedia.org/wiki/Repton_School,DE65 6FH
Rossall School,https://en.wikipedia.org/wiki/Rossall_School,FY7 8JW
Roedean,https://en.wikipedia.org/wiki/Roedean,BN2 5RQ
"Royal Grammar School, Guildford","https://en.wikipedia.org/wiki/Royal_Grammar_School,_Guildford",GU1 3BB
"Royal Grammar School, Newcastle","https://en.wikipedia.org/wiki/Royal_Grammar_School,_Newcastle",NE2 4DX
RGS Worcester,https://en.wikipedia.org/wiki/RGS_Worcester,WR1 1HP
The Royal Hospital School,https://en.wikipedia.org/wiki/The_Royal_Hospital_School,IP9 2RX
Royal Masonic School for Girls,https://en.wikipedia.org/wiki/Royal_Masonic_School_for_Girls,WD3 4HF
Royal Russell School,https://en.wikipedia.org/wiki/Royal_Russell_School,CR9 5BX
Rugby School,https://en.wikipedia.org/wiki/Rugby_School,CV22 5EH
Ryde School,https://en.wikipedia.org/wiki/Ryde_School,PO33 3BE
St Albans School,https://en.wikipedia.org/wiki/St_Albans_School,AL3 4HB
St Albans High School for Girls,https://en.wikipedia.org/wiki/St_Albans_High_School_for_Girls,AL1 3SJ
St Bede's College,https://en.wikipedia.org/wiki/St_Bede's_College,M16 8HX
St Benedict's School,https://en.wikipedia.org/wiki/St_Benedict's_School,W5 2ES
"St Columba's College, St Albans","https://en.wikipedia.org/wiki/St_Columba's_College,_St_Albans",AL3 4AW
St Dunstan's College,https://en.wikipedia.org/wiki/St_Dunstan's_College,SE6 4TY
St Edmund's College,https://en.wikipedia.org/wiki/St_Edmund's_College,SG11 1DS
St Edmund's School,https://en.wikipedia.org/wiki/St_Edmund's_School,CT2 8HU
"St Edward's School, Oxford","https://en.wikipedia.org/wiki/St_Edward's_School,_Oxford",OX2 7NN
"St George's College, Weybridge","https://en.wikipedia.org/wiki/St_George's_College,_Weybridge",KT15 2QS
"St John's School, Leatherhead","https://en.wikipedia.org/wiki/St_John's_School,_Leatherhead",KT22 8SP
St Lawrence College,https://en.wikipedia.org/wiki/St_Lawrence_College,CT11 7AE
St Mary's Calne,https://en.wikipedia.org/wiki/St_Mary's_Calne,SN11 0DF
St Mary's College,https://en.wikipedia.org/wiki/St_Mary's_College,L23 5TW
St Mary's School Ascot,https://en.wikipedia.org/wiki/St_Mary's_School_Ascot,SL5 9JF
St Paul's Girls' School,https://en.wikipedia.org/wiki/St_Paul's_Girls'_School,W6 7BS
St Paul's School,https://en.wikipedia.org/wiki/St_Paul's_School,SW13 9JT
